100 1000
83 46 7
28 14 3
84 76 5
100 50 7
50 55 7
7 38 9
96 44 7
13 46 5
100 77 1
59 46 10
32 81 10
80 94 3
36 7 10
15 79 9
54 12 3
68 77 2
97 20 7
72 8 4
97 93 10
95 39 4
65 5 3
32 50 4
84 14 8
100 92 1
38 35 9
1 16 6
48 46 9
78 38 8
82 4 1
84 15 4
99 40 9
36 43 4
35 5 4
2 66 5
78 51 8
55 74 4
91 9 5
67 81 5
97 3 6
77 47 2
84 33 10
90 73 8
10 3 6
95 38 5
18 13 5
22 58 8
82 12 10
87 27 4
100 3 5
57 51 8
72 7 1
42 8 6
79 71 8
47 33 6
53 33 5
60 42 3
3 53 10
4 55 9
89 8 7
65 60 9
86 71 8
66 48 6
71 37 2
76 37 10
78 72 9
81 27 9
72 67 10
50 33 10
7 2 1
13 22 2
35 30 5
17 31 2
28 20 10
41 14 9
6 91 5
71 23 3
2 44 7
11 28 2
3 7 9
6 27 4
40 92 9
57 62 2
40 35 5
66 88 4
96 91 6
88 48 1
54 85 5
5 98 9
27 76 10
75 8 5
24 98 1
35 57 2
71 9 9
1 24 2
98 34 7
7 36 10
37 30 9
92 31 8
59 33 1
7 27 6
94 35 2
65 4 6
33 13 6
20 50 1
62 30 7
3 93 9
80 13 1
1 6 7
88 78 4
61 72 3
49 35 8
1 73 2
79 24 5
64 95 7
69 27 1
61 86 9
43 86 6
47 50 2
44 76 8
95 11 1
83 4 9
69 2 8
99 20 3
72 53 6
4 69 1
86 44 5
53 23 4
93 28 5
21 28 1
93 84 1
40 94 2
50 29 4
96 69 7
35 77 1
66 5 7
10 12 1
47 68 6
18 58 5
52 69 1
99 27 8
55 24 6
100 15 8
14 87 1
28 4 8
67 82 4
18 98 3
34 77 5
39 5 4
6 1 5
20 61 7
58 80 4
20 42 8
62 87 8
3 59 7
33 97 10
2 99 2
77 19 7
67 98 3
70 20 5
31 6 6
87 63 9
79 76 10
32 82 10
99 67 9
3 48 1
68 25 1
46 66 6
16 84 1
79 19 6
85 29 7
57 32 5
53 55 2
60 9 6
83 18 3
66 54 2
17 36 2
15 45 5
50 58 6
96 48 5
37 54 9
49 6 2
11 42 9
96 80 1
33 93 1
97 4 1
71 33 8
7 40 6
73 21 8
56 96 8
66 92 4
42 81 3
64 21 1
40 36 6
6 42 2
42 20 1
38 46 6
47 54 7
74 77 4
64 86 6
59 39 3
93 36 4
23 69 5
100 86 2
82 46 5
38 85 5
80 5 5
85 42 9
78 88 3
20 32 10
70 65 9
4 9 10
34 61 2
33 59 6
32 94 5
16 30 4
100 64 3
13 17 6
33 91 4
95 19 5
62 82 5
6 7 9
87 58 2
30 82 8
56 65 6
41 49 1
32 30 10
59 98 10
51 60 9
44 39 1
41 27 5
53 6 8
86 6 9
7 15 1
9 85 1
83 88 4
24 66 6
88 99 10
42 76 4
69 83 7
95 94 2
23 47 2
33 15 9
32 72 10
76 98 3
1 10 3
18 85 8
27 31 10
25 40 3
43 25 9
31 15 2
83 97 10
92 40 8
81 79 2
79 35 4
52 76 10
44 62 7
43 66 8
62 60 7
6 95 6
58 53 7
42 49 9
24 89 5
73 67 9
27 85 3
90 8 2
48 31 1
81 3 5
99 93 8
10 11 2
93 15 4
61 56 3
64 58 3
14 95 3
94 39 2
50 86 8
55 63 3
42 64 1
54 37 1
45 4 1
75 54 2
64 73 7
63 51 9
46 3 6
98 85 1
18 72 4
68 42 7
2 40 2
91 62 8
84 31 6
50 66 8
82 9 3
66 57 6
58 51 8
72 73 10
39 23 1
44 2 2
13 40 10
38 92 3
36 9 9
51 70 4
41 22 6
47 16 2
38 41 5
56 38 2
59 44 9
90 69 8
75 60 3
85 1 7
64 52 4
38 88 7
94 82 7
87 61 10
3 84 10
53 39 6
99 72 9
70 91 1
36 72 6
75 19 10
76 70 6
25 88 7
95 82 10
24 79 4
16 26 7
25 16 9
66 43 10
29 53 7
1 98 10
87 73 8
15 49 6
96 23 10
36 27 10
61 59 8
24 54 9
91 97 8
70 35 7
77 90 5
53 92 7
82 64 6
64 6 1
15 75 2
76 62 10
45 11 9
45 50 4
24 33 5
95 21 1
13 14 5
81 75 6
19 38 5
90 80 10
61 58 4
9 24 9
53 93 9
76 63 2
20 62 5
93 76 10
9 19 4
19 99 3
72 86 3
3 19 8
46 32 5
67 20 5
91 18 4
4 28 1
34 88 1
35 32 1
32 33 10
61 52 6
2 78 1
33 84 7
76 57 4
27 30 3
59 56 9
33 14 2
6 87 5
58 63 1
92 26 8
62 26 2
88 94 4
72 25 1
19 92 2
8 60 7
39 8 6
13 71 7
2 60 5
75 67 7
80 81 3
31 52 7
36 61 2
63 4 8
19 37 5
67 6 3
100 19 8
70 94 7
99 32 4
60 94 5
93 13 10
37 50 5
90 49 2
30 4 9
41 37 6
71 22 2
53 50 1
72 24 10
89 24 5
52 66 8
88 65 10
22 70 3
42 96 7
56 35 5
1 61 4
89 40 5
30 83 5
28 79 1
55 37 9
66 2 1
74 84 2
88 77 6
94 23 2
54 35 10
59 18 6
2 9 9
45 29 8
18 6 2
88 21 3
48 41 6
67 41 4
68 65 4
56 46 6
60 39 7
20 41 9
8 31 9
92 45 1
100 14 2
43 33 8
52 62 7
62 16 2
54 45 6
74 17 2
74 81 3
52 13 2
42 11 5
65 94 8
11 98 2
11 94 1
48 17 8
37 100 2
71 88 9
42 78 1
75 57 2
97 39 9
95 89 7
65 15 10
64 62 2
25 23 2
51 87 4
89 33 4
68 59 8
82 7 4
73 91 8
18 33 5
88 58 5
35 33 2
73 68 1
73 41 3
42 53 6
92 75 8
1 18 4
31 35 10
67 56 1
9 2 2
79 87 3
11 54 5
35 7 9
60 85 6
7 21 4
90 64 6
27 51 10
92 80 2
65 18 3
72 30 2
19 11 2
26 91 8
6 46 1
56 73 4
70 55 9
90 98 9
6 12 5
3 39 10
56 75 8
68 56 5
71 78 5
48 27 6
74 25 8
79 72 8
24 46 7
11 69 7
79 8 4
22 74 3
40 19 8
63 81 2
16 89 5
63 82 7
79 46 9
94 99 3
70 88 2
21 18 4
57 6 7
27 28 2
45 39 10
47 18 8
86 59 6
52 72 6
69 95 10
32 48 3
71 5 5
51 72 6
65 71 8
11 36 10
5 53 7
62 18 5
47 53 6
76 95 1
91 54 9
6 10 9
59 85 3
39 21 5
77 87 2
53 47 5
98 99 7
22 43 6
67 3 10
76 61 8
13 65 1
25 91 9
85 9 7
46 37 9
78 31 4
21 33 8
50 18 3
7 17 10
19 67 7
2 15 7
27 67 3
30 31 6
20 76 1
79 89 7
5 84 6
16 18 3
96 20 9
83 90 4
68 30 9
93 69 7
69 98 9
50 37 9
36 28 7
63 27 8
99 7 3
23 97 4
84 12 7
4 71 7
89 5 4
31 76 8
61 28 8
22 65 4
90 50 3
55 61 8
90 61 5
17 26 4
29 30 10
52 40 5
41 28 3
7 13 1
49 89 3
27 20 4
5 19 10
68 1 3
61 74 5
28 78 4
13 89 2
68 17 4
8 72 2
62 34 2
93 10 9
12 25 8
34 92 3
20 82 5
23 4 8
91 16 6
18 3 1
79 86 4
59 79 6
55 96 3
95 41 3
98 36 9
41 44 9
85 55 2
34 85 7
61 31 10
52 93 5
17 25 1
20 52 1
30 7 3
73 81 1
52 51 8
8 35 9
5 88 3
53 58 2
37 61 2
82 94 7
47 51 6
41 39 5
40 84 2
67 54 4
36 57 8
61 46 1
45 73 8
95 86 1
85 89 1
51 93 6
15 88 2
68 69 10
43 83 8
69 100 6
78 49 6
77 71 5
10 36 1
1 50 3
13 79 3
66 44 5
59 89 10
96 38 8
39 27 2
8 52 7
53 26 6
43 72 7
57 100 3
62 67 2
53 24 4
21 77 10
66 74 10
90 46 10
64 31 10
17 99 5
53 98 4
1 48 10
12 70 7
22 73 6
13 57 8
56 41 5
39 20
100
22 77 45 
54 11 
12 68 74 7 
32 65 92 10 
66 12 
26 56 97 58 
6 70 42 
2 85 90 
48 22 28 29 
50 36 21 28 
42 10 
67 53 96 56 
79 47 
97 51 30 
53 37 69 
62 97 61 
77 92 
99 8 75 
24 9 37 5 
24 66 62 82 
90 12 
69 7 1 
16 24 
84 1 
92 28 
52 33 95 
57 23 91 90 
86 61 35 93 
22 67 92 
97 94 45 31 
51 98 
49 55 
62 87 
81 11 51 
5 12 33 
87 96 
23 1 57 37 
37 34 35 43 
12 27 90 
41 46 
33 80 92 
26 94 
47 1 57 58 
59 78 
11 7 48 
29 74 
55 30 
68 45 38 2 
75 56 62 
30 37 36 
55 13 61 2 
78 73 
84 4 13 28 
68 86 
63 86 78 
13 69 98 51 
92 13 67 
93 1 
93 78 55 28 
44 74 
26 40 
27 32 48 
17 70 85 74 
3 24 54 
4 31 40 
65 84 38 
50 34 28 45 
49 37 
55 56 29 
11 35 
6 83 69 
41 73 1 
65 54 72 
67 65 94 23 
70 22 27 82 
12 3 59 53 
65 42 54 
31 70 45 97 
13 26 23 
34 17 71 66 
93 56 
1 34 11 59 
24 22 
24 2 
61 38 9 
59 19 
30 18 
97 63 
25 30 89 
85 4 28 32 
76 78 33 9 
37 43 32 76 
55 27 58 
68 79 
7 81 93 
12 69 57 25 
23 56 88 
28 98 
25 97 
17 56 
